"job_role","industry","country","year","automation_risk_percent","ai_replacement_score","skill_gap_index","salary_before_usd","salary_change_percent","skill_demand_growth_percent","remote_feasibility_score","ai_adoption_level","education_requirement_level","reskilling_urgency_score","year_category","risk_bracket"
"Customer Support Rep","Finance","Brazil",2020,56.83,64.36,83.11,68325.81,-11.47,7.53,67.2,83.4,"4",51.106,"Past","Medium Risk"
"Customer Support Rep","Healthcare","USA",2025,38.13,35.43,44.89,131409.61,-9.01,16.39,31.87,69.57,"1",31.422,"Future","Medium Risk"
"Accountant","Education","Brazil",2026,43.59,45.22,64.87,97042.41,8.88,7.59,88.14,14.9,"3",39.561,"Future","Medium Risk"
"Teacher","Education","Germany",2021,51.05,49.82,28.55,105737.69,15.45,5.61,18.41,30.27,"4",33.62,"Past","Medium Risk"
"Truck Driver","Energy","Germany",2020,26.8,29.44,91.25,100485.16,-4.95,6.28,55.34,52.69,"2",39.58,"Past","Low Risk"
"Data Analyst","Transportation","Japan",2025,5,5.56,27.83,116813.64,-13.57,19.65,67.57,59.61,"5",14.42,"Future","Low Risk"
"Truck Driver","Finance","UK",2026,74.51,60.16,83.62,87439.9,-25.54,10.41,99.04,80.16,"4",62.552,"Future","High Risk"
"Data Analyst","Education","Canada",2024,21.8,24.27,43.7,134401.6,-0.8,2.41,48.68,74.42,"4",22.07,"Present","Low Risk"
"Accountant","Technology","India",2021,22.76,20.82,72.39,39221.24,6.39,-2.53,88.8,72.88,"3",32.738,"Past","Low Risk"
"Software Engineer","Healthcare","Australia",2026,36.9,30.98,82.72,44884.68,-5.3,3.65,73.87,50.35,"3",41.166,"Future","Medium Risk"
"Mechanical Engineer","Education","USA",2025,73.53,62.91,81.92,91280.25,14.14,-8.19,81.14,44.03,"1",58.23,"Future","High Risk"
"Mechanical Engineer","Retail","USA",2024,26.3,30.67,31.3,149788.37,7.5,15.68,11.12,44.85,"1",22.16,"Present","Low Risk"
"Marketing Specialist","Manufacturing","Japan",2023,45.17,42.94,15,74094.05,-2.05,0.83,17.53,75.24,"4",23.183,"Present","Medium Risk"
"Customer Support Rep","Energy","UK",2022,71.98,84.65,37.99,124344.11,17.8,15.67,59.27,77.92,"4",45.529,"Past","High Risk"
"Data Analyst","Transportation","Germany",2020,5,4.16,9.59,64642.89,17.52,15.97,74.13,28.08,"2",10.133,"Past","Low Risk"
"HR Manager","Manufacturing","Brazil",2021,55.51,47.03,1,113361.69,8.26,19.58,33.3,92.75,"1",24.982,"Past","Medium Risk"
"Software Engineer","Technology","India",2022,61.3,61.68,98.91,65834.35,7.88,4.84,51.59,47.1,"2",56.557,"Past","Medium Risk"
"Mechanical Engineer","Healthcare","Canada",2024,15.56,13.76,15.79,97831.9,-5.29,2.73,55.9,66.92,"2",12.548,"Present","Low Risk"
"Software Engineer","Energy","Canada",2020,51.56,58.52,48.2,76873.42,-12.2,22.27,50.76,29.63,"4",38.744,"Past","Medium Risk"
"Marketing Specialist","Transportation","Australia",2022,18.91,18.16,30.82,145214.2,1.63,10.02,91.33,75.13,"4",17.299,"Past","Low Risk"
"Teacher","Healthcare","Brazil",2024,34.21,35.63,22.03,112464.99,-6.42,6.21,88.46,87.77,"4",22.219,"Present","Medium Risk"
"Customer Support Rep","Education","India",2024,84.7,93.99,67.79,77629.09,-4.18,-2.19,41.24,35.81,"5",55.471,"Present","High Risk"
"Teacher","Healthcare","UK",2022,49.58,43.8,18.97,116035.52,-11.42,2.88,96.38,67.01,"2",28.949,"Past","Medium Risk"
"Truck Driver","Education","Singapore",2020,55.29,46.72,38.52,108072.2,-0.29,10,72.32,19.54,"1",33.759,"Past","Medium Risk"
"Accountant","Healthcare","Germany",2020,53.65,48.05,19.81,91106.47,6.88,-3.96,94.36,39.36,"2",29.467,"Past","Medium Risk"
"Customer Support Rep","Retail","USA",2022,47.57,41.4,39.04,97156.09,14.19,-9.64,69.62,9.78,"4",34.997,"Past","Medium Risk"
"Truck Driver","Energy","India",2021,73.84,85.67,2.63,96162.27,15.61,12.73,44.72,81.87,"3",35.008,"Past","High Risk"
"Data Analyst","Education","Brazil",2024,37.79,36.42,71.93,141285.06,-5.67,1.52,58.09,4.44,"1",38.396,"Present","Medium Risk"
"HR Manager","Finance","Brazil",2026,57.22,51.27,45.44,108667.42,-15.93,3.98,89.23,76.45,"2",41.299,"Future","Medium Risk"
"Financial Analyst","Technology","Australia",2020,52.08,56.21,41.53,75107.05,4.06,0.46,44.29,69.23,"4",34.509,"Past","Medium Risk"
"Teacher","Transportation","USA",2025,31,34.67,10.52,105001.7,5.59,15.73,72.65,52.6,"5",17.233,"Future","Low Risk"
"Data Analyst","Healthcare","Germany",2024,39.13,32.34,25.08,116631.45,0.62,11.64,75.3,68.36,"2",23.362,"Present","Medium Risk"
"Truck Driver","Retail","Canada",2023,94.96,106.16,62.76,43819.12,-13.15,-2.24,86.83,44.62,"5",60.757,"Present","High Risk"
"Software Engineer","Transportation","Germany",2023,37.47,44.44,83.67,124778.43,3.69,-0.75,46.96,11.75,"1",41.196,"Present","Medium Risk"
"Mechanical Engineer","Healthcare","Japan",2023,61.73,54.19,58.9,118985.14,-18.1,-1.33,28.11,50.38,"5",47.792,"Present","Medium Risk"
"Mechanical Engineer","Retail","Canada",2022,69.67,82.13,97.21,93765.4,14.09,23.19,51.94,15.22,"2",61.258,"Past","High Risk"
"Software Engineer","Healthcare","UK",2026,5,4.87,18.62,136398.21,6.14,18.57,14.27,62.22,"3",9.428,"Future","Low Risk"
"Financial Analyst","Healthcare","Canada",2024,53.47,52.17,65.78,132949.74,-1.66,21.12,33.61,47.78,"5",41.62,"Present","Medium Risk"
"Teacher","Manufacturing","India",2021,76.22,85.97,2.7,123955.59,2.65,-7.28,82.59,56.13,"4",32.093,"Past","High Risk"
"Customer Support Rep","Energy","India",2022,53.27,49.46,30.51,130491.3,4.15,9.17,35.45,79.89,"3",31.706,"Past","Medium Risk"
"Software Engineer","Manufacturing","India",2026,5,4.41,51.45,78809.54,-15.69,14.35,11.44,43.09,"1",22.142,"Future","Low Risk"
"Financial Analyst","Technology","UK",2023,31.47,32.44,92.98,66943.96,2.53,0.11,77.38,42.29,"4",41.241,"Present","Low Risk"
"Marketing Specialist","Finance","Canada",2026,30.02,33.55,95.62,148788.23,13.48,12.55,84,79.89,"1",44.738,"Future","Low Risk"
"Marketing Specialist","Manufacturing","Singapore",2020,79.54,89.41,66.26,75145.91,9.52,7.45,37.49,3.07,"4",54.55,"Past","High Risk"
"Data Analyst","Technology","Canada",2023,22.9,27.12,79.41,52456.79,-7.95,6.51,96.94,61.78,"1",35.368,"Present","Low Risk"
"Financial Analyst","Finance","India",2026,55.61,63.47,33.71,96990.36,4.6,5.75,21.83,75.89,"5",33.737,"Future","Medium Risk"
"Marketing Specialist","Healthcare","Australia",2026,50.26,57.2,83.2,31443.64,-7.45,-0.68,51.55,90.53,"4",47.299,"Future","Medium Risk"
"Marketing Specialist","Healthcare","Canada",2025,10.35,10.3,88.48,141145.49,10.11,9.82,39.17,28.6,"4",33.717,"Future","Low Risk"
"Teacher","Manufacturing","Canada",2020,13.44,13.46,45.58,74629.86,-2.79,1,28.33,94.4,"1",19.887,"Past","Low Risk"
"Customer Support Rep","Retail","India",2022,92.65,74.25,17.05,136653.7,7.21,-17.35,78.74,24.39,"1",44.338,"Past","High Risk"
"Customer Support Rep","Finance","Brazil",2020,32.05,36.02,98.46,109053.36,-6.68,-7.11,29.71,6.18,"1",44.362,"Past","Low Risk"
"Financial Analyst","Finance","Canada",2020,61.26,52.58,9.27,72916.18,4.82,8.75,88.15,94.45,"3",28.731,"Past","Medium Risk"
"Data Analyst","Manufacturing","UK",2022,13.07,15.16,52.5,49947.72,-12.99,16.7,14.18,7.86,"1",24.875,"Past","Low Risk"
"Truck Driver","Technology","Canada",2022,54.66,61.8,31.1,121935.1,-1.4,-0.85,21.47,86.35,"4",31.614,"Past","Medium Risk"
"Software Engineer","Education","Singapore",2020,67.76,63.03,98.89,120276.91,-0.03,4.1,85.07,53.39,"5",56.78,"Past","High Risk"
"HR Manager","Technology","Singapore",2023,48.5,47.48,39.5,33287.61,13.29,11.07,81.12,62.46,"1",35.237,"Present","Medium Risk"
"HR Manager","Energy","Brazil",2021,33.89,27.42,89.58,81485.55,-12.6,9.18,22.78,8.68,"1",44.21,"Past","Medium Risk"
"Software Engineer","Manufacturing","India",2022,55.91,59.19,62.12,140327.73,-3.18,1.71,27.05,42.34,"3",41.954,"Past","Medium Risk"
"Teacher","Retail","Australia",2023,71.2,82.06,59.06,108977.15,2.55,13.15,30.68,70.49,"2",46.963,"Present","High Risk"
"Accountant","Energy","Australia",2025,63.89,67.35,27.36,77990.14,-11.62,4.04,50.7,16.12,"4",37.25,"Future","Medium Risk"
"Marketing Specialist","Retail","USA",2023,44.96,36.88,94.85,59561.38,-5.1,4.64,27.34,69.32,"3",47.969,"Present","Medium Risk"
"Software Engineer","Manufacturing","Germany",2026,7.83,8.23,0.21,85801.12,3.56,6.85,54.36,84.05,"4",4.263,"Future","Low Risk"
"HR Manager","Retail","Brazil",2023,66.18,60.77,87.47,106833.96,-1.2,-8.09,51.97,62.52,"1",53.073,"Present","Medium Risk"
"Marketing Specialist","Manufacturing","Germany",2024,56.55,50.51,35.24,47350.82,1.25,3.57,77.56,44.27,"1",33.567,"Present","Medium Risk"
"Customer Support Rep","Transportation","Canada",2020,31.71,31.08,29.45,123350.31,-1.09,-4.05,63.22,98.57,"2",21.846,"Past","Low Risk"
"Teacher","Retail","India",2020,16.27,13.76,98.8,78675.02,8.18,12.03,38.31,21.43,"4",38.602,"Past","Low Risk"
"Software Engineer","Manufacturing","UK",2023,19.33,21.37,84.05,113940.59,-16.42,0.94,48.27,91.45,"4",37.873,"Present","Low Risk"
"Mechanical Engineer","Manufacturing","India",2025,70.42,65.45,32.79,123596.89,17.67,-12.84,48.01,24.23,"5",43.306,"Future","High Risk"
"Software Engineer","Education","Japan",2023,13.22,11.31,1.14,63673.97,-5.35,-2.26,16.82,34.16,"2",7.235,"Present","Low Risk"
"Data Analyst","Technology","India",2020,36.4,42.87,34.71,33722.76,11.14,0.17,40.61,29.17,"5",28.315,"Past","Medium Risk"
"Marketing Specialist","Transportation","Australia",2022,74.33,68.3,97.03,129916.29,8.8,21.49,30.23,73.04,"4",61.481,"Past","High Risk"
"Data Analyst","Healthcare","Australia",2021,24.3,24.16,10.41,65538.49,-23.13,26.08,40.92,47.19,"4",19.782,"Past","Low Risk"
"Software Engineer","Transportation","Canada",2020,52.14,51.3,50.62,114137.53,0.96,17.26,95.34,35.34,"1",36.33,"Past","Medium Risk"
"HR Manager","Energy","Canada",2024,27.68,29.82,17.57,137996.14,15.37,-3.8,61.32,5.44,"4",20.954,"Present","Low Risk"
"Truck Driver","Retail","Brazil",2023,74.64,83.29,98.25,79935.32,10.73,5.08,34.23,18.91,"5",62.55,"Present","High Risk"
"Financial Analyst","Retail","Brazil",2022,19.3,23,27.04,120887.34,-15.68,1.96,92.2,46.38,"5",20.536,"Past","Low Risk"
"Data Analyst","Energy","USA",2025,39.62,35.22,32.42,119722.51,0.82,-16.51,20.29,85.01,"2",25.82,"Future","Medium Risk"
"Teacher","Finance","USA",2020,61.63,68.06,17.82,89418.74,6.67,2.55,99.35,61.77,"4",31.999,"Past","Medium Risk"
"Truck Driver","Technology","India",2023,61.17,59.71,1.83,126013.99,11.64,18.39,82.81,92.81,"4",28.509,"Present","Medium Risk"
"Customer Support Rep","Energy","Australia",2024,52.27,50.73,97.51,109730.98,-4.1,10.18,38.54,39.16,"3",51.391,"Present","Medium Risk"
"Marketing Specialist","Manufacturing","Germany",2026,32.19,37.13,51.15,144437.65,-1.66,4.36,22.43,21.71,"1",28.719,"Future","Low Risk"
"Truck Driver","Finance","India",2020,69.8,60.89,38.15,125446.42,18.66,8.77,91.99,66.2,"4",44.963,"Past","High Risk"
"Data Analyst","Transportation","USA",2020,66.23,59.46,34.18,130717.16,5.55,15.47,55.54,1.77,"3",38.411,"Past","Medium Risk"
"Marketing Specialist","Technology","UK",2020,29.63,25.58,5.12,123129.57,-3.5,-4.04,97.97,40.92,"3",14.438,"Past","Low Risk"
"HR Manager","Retail","India",2026,19.91,21.42,80.99,63498.08,-6.09,13.24,72.38,12.48,"3",34.088,"Future","Low Risk"
"Mechanical Engineer","Transportation","Japan",2022,39.95,40.28,72.53,108003.74,-3.09,8.46,69.51,12.78,"2",38.666,"Past","Medium Risk"
"Customer Support Rep","Manufacturing","Brazil",2022,58.47,59.04,2.73,38442.8,-5.01,12.97,41.15,64.04,"5",25.71,"Past","Medium Risk"
"Teacher","Education","Australia",2021,25.45,22.32,42.15,37079.6,-14.29,2.45,52.35,9.99,"2",27.112,"Past","Low Risk"
"Marketing Specialist","Finance","Japan",2026,37.85,31.39,70.62,63085.63,-3.26,5.14,57.22,0.33,"1",37.304,"Future","Medium Risk"
"Customer Support Rep","Manufacturing","Australia",2021,89.76,89.81,10.01,70926.57,0.42,-1.13,21.01,47.31,"1",39.033,"Past","High Risk"
"Software Engineer","Retail","UK",2023,21.39,23.62,48.23,131782.23,8.56,-2.67,49.43,42.62,"4",25.593,"Present","Low Risk"
"Mechanical Engineer","Manufacturing","Singapore",2025,70.78,60.74,47.78,101145.99,10.96,-7.98,93.53,71.98,"1",45.934,"Future","High Risk"
"Marketing Specialist","Energy","Japan",2021,72.02,59.62,49.27,97779.86,-7.11,8.51,69.11,14.6,"1",45.722,"Past","High Risk"
"Truck Driver","Manufacturing","Canada",2026,29.73,29.37,60.04,144974.12,7.6,21.52,29.31,15.2,"4",32.184,"Future","Low Risk"
"Accountant","Retail","Brazil",2023,52.51,46.69,70.66,43737.25,11.65,-1.84,84.79,34.52,"2",45.697,"Present","Medium Risk"
"Customer Support Rep","Education","Brazil",2023,39.47,46.7,76.11,126847.11,-3.91,-9.36,16.14,10.94,"3",39.794,"Present","Medium Risk"
"Customer Support Rep","Healthcare","Japan",2025,40.47,37.28,99.72,80650.63,5.82,7.85,32.15,14.47,"4",47.85,"Future","Medium Risk"
"Financial Analyst","Energy","India",2022,27.03,31.16,66.57,84160.21,-5.5,11.69,31.53,56.72,"1",32.433,"Past","Low Risk"
"Customer Support Rep","Retail","Germany",2026,80.3,72.58,21,86876.96,3.94,-0.82,61.96,51.25,"1",39.602,"Future","High Risk"
"Truck Driver","Transportation","Japan",2020,86.06,94.06,14.93,80451.82,10.24,-1.06,74.71,47.2,"4",41.975,"Past","High Risk"
"Software Engineer","Education","Australia",2024,57.66,55.58,80.36,33848.99,3.87,-0.53,20.3,68.38,"1",48.333,"Present","Medium Risk"
"Truck Driver","Manufacturing","Australia",2023,75.65,80.56,81.82,91394.05,1.6,14.15,55.71,50.94,"5",55.286,"Present","High Risk"
"Accountant","Finance","India",2023,73.85,66.27,69.5,59113.89,3.89,-2.74,48.21,83.71,"2",51.557,"Present","High Risk"
"Mechanical Engineer","Technology","Singapore",2025,64.12,54.99,46.78,33303.87,17.46,-1.15,30.89,81,"5",44.92,"Future","Medium Risk"
"Financial Analyst","Manufacturing","Australia",2026,13.72,11.17,2.75,63603.22,-9.73,4.18,99.71,99.96,"3",9.232,"Future","Low Risk"
"Teacher","Retail","Singapore",2021,46.39,47.65,92.68,122375.13,4.62,-0.25,30.78,43.02,"5",47.746,"Past","Medium Risk"
"Financial Analyst","Energy","USA",2020,47.28,51.38,15.02,39140.38,1.82,7.04,57.09,66.24,"3",23.964,"Past","Medium Risk"
"Mechanical Engineer","Education","Japan",2020,60.35,59.78,25.72,87767.09,-15.27,3.08,90.07,63.82,"2",36.437,"Past","Medium Risk"
"Marketing Specialist","Manufacturing","Canada",2025,38.33,32.38,75.18,68036.68,12.82,24.58,72.97,53.76,"2",41.732,"Future","Medium Risk"
"Truck Driver","Finance","Brazil",2023,69.13,57.56,66.53,53302.91,2.85,-19.54,71.82,74.24,"4",48.466,"Present","High Risk"
"Marketing Specialist","Healthcare","Australia",2022,59.34,49.73,38.69,63679.81,16.69,-6.54,27.36,50.21,"2",40.35,"Past","Medium Risk"
"Marketing Specialist","Technology","Australia",2020,71.94,78.59,72.54,131845.97,14.27,-0.54,15.28,5.64,"5",54.819,"Past","High Risk"
"Accountant","Transportation","USA",2020,33.23,29.2,51.85,51984.3,-1.4,9.78,54.81,23.98,"1",29.267,"Past","Medium Risk"
"Data Analyst","Finance","USA",2020,44.51,49.64,49.87,65564.74,-7.33,5.13,74.9,45.16,"3",34.964,"Past","Medium Risk"
"Teacher","Finance","Singapore",2020,72.88,85.21,12.55,149533.32,0.86,8.17,84.29,1.84,"5",33.175,"Past","High Risk"
"Truck Driver","Manufacturing","Brazil",2022,92.93,91.3,90.97,76214.98,-3.92,18.76,42.64,94.68,"3",65.639,"Past","High Risk"
"Marketing Specialist","Finance","UK",2020,58.94,66.96,54.34,140201.85,-2.41,6.35,79.02,1.87,"2",40.601,"Past","Medium Risk"
"Software Engineer","Technology","Brazil",2024,58.03,54.13,59.83,119925.24,14.18,16.27,90.34,37.4,"2",45.415,"Present","Medium Risk"
"Customer Support Rep","Retail","Singapore",2026,63.3,55.07,46.75,48004.36,-14.4,15.94,87.31,34.36,"5",43.665,"Future","Medium Risk"
"Marketing Specialist","Technology","Brazil",2026,30.08,29.97,17.53,54456.74,-0.15,20.08,28.57,3.15,"4",17.336,"Future","Low Risk"
"Truck Driver","Healthcare","Germany",2025,57.65,63.25,35.12,59755.71,4.8,3.92,48.08,25.96,"2",35.036,"Future","Medium Risk"
"Data Analyst","Technology","Canada",2025,39.85,44.8,2.23,96972.2,-4.6,10.44,92.95,57.77,"3",17.989,"Future","Medium Risk"
"Financial Analyst","Finance","Japan",2025,46.17,54.73,12.97,118816.94,-0.48,18.41,10.58,52.43,"4",22.503,"Future","Medium Risk"
"Customer Support Rep","Transportation","Australia",2022,35.75,36.64,73.86,93728.57,-8.09,7.67,18.73,85.09,"4",38.885,"Past","Medium Risk"
"Data Analyst","Healthcare","UK",2020,5,4.57,93.77,85064.05,-10.98,11.89,34.35,50.9,"5",33.425,"Past","Low Risk"
"Financial Analyst","Healthcare","UK",2020,54.67,64.74,57.44,41516.29,-13.16,-1.85,32.9,50.54,"4",43.048,"Past","Medium Risk"
"Customer Support Rep","Finance","Brazil",2025,47.17,43.19,96.8,100075.04,-8.93,-4.49,82.99,88.65,"4",50.587,"Future","Medium Risk"
"HR Manager","Finance","Japan",2023,57.53,55.95,76.46,142485.83,1.84,3.3,86.39,36.65,"1",46.502,"Present","Medium Risk"
"Customer Support Rep","Technology","UK",2021,45.43,46.61,27.23,47445.28,-0.12,11.27,52.5,12.61,"4",26.377,"Past","Medium Risk"
"HR Manager","Finance","Singapore",2024,45.29,49.69,24.8,74266.64,-4.87,-5.79,87.52,23.71,"2",27.017,"Present","Medium Risk"
"Teacher","Manufacturing","Australia",2025,12.07,12.24,57.95,69469.29,-3.52,6.08,40.65,14.46,"5",23.269,"Future","Low Risk"
"Marketing Specialist","Finance","Singapore",2026,26.09,24.86,49.34,41183.94,2.99,-1.84,46.37,17.65,"4",26.135,"Future","Low Risk"
"Teacher","Retail","USA",2026,26.44,28.77,5.18,91049.17,11.29,-0.07,81.11,68.92,"2",15.517,"Future","Low Risk"
"Accountant","Manufacturing","India",2025,36.93,38.87,63.98,69863.98,10.01,-1.17,55.08,46.37,"5",36.969,"Future","Medium Risk"
"Customer Support Rep","Healthcare","Australia",2021,52.06,47.73,91.95,118897.81,15.81,1.27,74.67,26.73,"5",53.152,"Past","Medium Risk"
"Accountant","Transportation","Japan",2020,22.33,25.33,81.14,149623.52,0.32,1.22,73.12,58.25,"2",33.37,"Past","Low Risk"
"Teacher","Manufacturing","Japan",2024,59.73,51.06,0.15,41163.85,-15.3,-5.73,88.66,8.35,"3",28.527,"Present","Medium Risk"
"Marketing Specialist","Education","UK",2021,40.99,48.5,50.29,45888.01,8.79,-9.47,11.08,96.81,"3",34.12,"Past","Medium Risk"
"Accountant","Transportation","Canada",2022,49.69,53.75,49.9,144950.9,17.47,14.62,87.48,86.16,"3",40.087,"Past","Medium Risk"
"Financial Analyst","Retail","Germany",2026,11.97,10.93,24.63,30797.39,-3.68,12.57,41.23,9.96,"4",13.281,"Future","Low Risk"
"Financial Analyst","Transportation","Brazil",2020,79.28,89.63,57.19,122631.64,6.62,16.7,25.66,72.03,"1",50.855,"Past","High Risk"
"Data Analyst","Retail","Germany",2021,39.87,43.45,54.35,144760.45,11.11,24.15,85.85,37.92,"1",35.586,"Past","Medium Risk"
"Teacher","Retail","USA",2024,32.11,32.15,58.45,56457.86,10.1,11.09,61.96,52.3,"5",33.409,"Present","Low Risk"
"Software Engineer","Education","Brazil",2023,20.62,24,75.45,87634.42,-12.69,17.38,15.38,20.39,"4",34.69,"Present","Low Risk"
"Data Analyst","Education","Australia",2025,5.56,5.58,62.21,75653.56,-8.57,5.62,79.3,3.28,"3",23.458,"Future","Low Risk"
"Marketing Specialist","Technology","Singapore",2025,54.41,52.96,18.38,92766.7,-4.29,18.93,43.09,14.25,"2",28.565,"Future","Medium Risk"
"Truck Driver","Energy","USA",2021,66.62,75.36,56.13,49810.51,-1.53,5.52,85.42,92.15,"3",43.946,"Past","Medium Risk"
"Marketing Specialist","Finance","UK",2020,51.79,59.7,8.45,57401.34,10.77,-2.2,53.58,34.83,"3",26.482,"Past","Medium Risk"
"Teacher","Manufacturing","Japan",2021,21.06,23.68,2.05,70472.46,-5.25,1.36,25.48,49.38,"1",10.614,"Past","Low Risk"
"Teacher","Healthcare","Singapore",2023,39.82,40.12,72.76,137079.45,4.97,-14.28,18.99,71.6,"1",39.247,"Present","Medium Risk"
"Customer Support Rep","Healthcare","Germany",2022,63.93,70.28,35.79,78131.59,-6.15,13.12,44.33,1.35,"5",38.154,"Past","Medium Risk"
"HR Manager","Finance","Brazil",2026,48.87,55.74,2.79,103654.76,-0.21,17.16,38.17,99.66,"1",20.448,"Future","Medium Risk"
"Accountant","Education","Australia",2025,14.54,12.85,88.52,65676.82,-5.28,15.13,83.08,68.57,"5",33.956,"Future","Low Risk"
"Marketing Specialist","Energy","Japan",2026,42.8,43.19,17.77,43906.07,7.54,9.69,74.98,91.29,"2",24.713,"Future","Medium Risk"
"Truck Driver","Manufacturing","Australia",2023,87.31,97.02,89.81,50066.83,9.06,13.26,23.86,90.96,"5",64.585,"Present","High Risk"
"Mechanical Engineer","Education","India",2024,10.61,10.34,2.15,92802.94,17.8,-7.71,78.98,76.86,"2",10.229,"Present","Low Risk"
"HR Manager","Energy","Canada",2025,60.56,50.91,41.74,127914.06,13.12,16.18,30.42,32.51,"1",40.682,"Future","Medium Risk"
"Data Analyst","Finance","Japan",2025,66.91,76.19,16.49,95363.17,-29.05,0.11,52.36,64.29,"2",40.426,"Future","Medium Risk"
"Teacher","Energy","USA",2021,77.7,89.37,87.51,114405.21,-0.41,1.66,56,84.25,"5",57.456,"Past","High Risk"
"Teacher","Healthcare","Australia",2023,74.6,73.15,30.05,70482.56,-16.25,10.68,91.97,41.87,"4",43.73,"Present","High Risk"
"Teacher","Finance","India",2021,79.3,66.92,18.79,91390.88,-3.56,13.97,85.37,42.55,"3",38.425,"Past","High Risk"
"Financial Analyst","Retail","UK",2021,69.71,63.5,47.19,63447.76,-3.87,-8.98,40.12,78.71,"2",43.202,"Past","High Risk"
"Software Engineer","Technology","Brazil",2020,52.33,49.37,99.23,146860.54,1.61,12.8,47.11,31.3,"3",51.184,"Past","Medium Risk"
"Teacher","Manufacturing","USA",2025,11.05,11.63,55.32,105584.58,-10.73,7.25,72.58,36.04,"5",24.235,"Future","Low Risk"
"Accountant","Healthcare","Canada",2025,46.14,43.66,2.2,135186.46,2.6,-6.13,89.48,22.13,"5",19.896,"Future","Medium Risk"
"Accountant","Energy","Germany",2026,38.84,36.94,8.92,80822.07,-4.63,4.8,53.93,9.38,"2",19.601,"Future","Medium Risk"
"Data Analyst","Technology","Japan",2025,62.47,66.22,5.64,129245.16,-12.46,-1.28,32.85,59.77,"5",30.418,"Future","Medium Risk"
"Financial Analyst","Manufacturing","India",2021,15.71,12.94,62.75,147829.14,-25.87,0.06,95.25,24.1,"4",32.87,"Past","Low Risk"
"Customer Support Rep","Transportation","Australia",2026,41.84,48.62,64.69,36454.05,9.89,10.38,34.66,38.29,"3",39.11,"Future","Medium Risk"
"Financial Analyst","Education","UK",2021,23.84,25.11,66.42,38224.3,11.47,17.86,13.16,55.54,"1",32.903,"Past","Low Risk"
"Truck Driver","Healthcare","USA",2020,67.98,66.08,90.13,69404.32,1.97,0.04,64.47,98.91,"5",54.822,"Past","High Risk"
"Truck Driver","Technology","Brazil",2022,41.19,39.47,46.12,133380.95,14.3,0.51,24.12,40.98,"2",34.602,"Past","Medium Risk"
"Financial Analyst","Energy","Canada",2026,20.85,24.6,17.78,80288.73,4.03,6.08,13.8,17.5,"1",14.883,"Future","Low Risk"
"Teacher","Healthcare","Japan",2024,36.6,38.38,32.95,115424.88,3.44,-6.45,45.82,50.82,"4",25.557,"Present","Medium Risk"
"Customer Support Rep","Transportation","Australia",2020,64.87,53.45,92.4,124331.02,17.55,-16.28,12.93,49.79,"2",58.933,"Past","Medium Risk"
"Marketing Specialist","Education","Australia",2022,39.84,37.84,81.54,51830.92,0.88,-8.12,71.84,2.24,"1",40.662,"Past","Medium Risk"
"Software Engineer","Technology","Australia",2020,38.21,35.13,75.69,86264.63,-3.53,16.43,84.44,71.65,"1",39.05,"Past","Medium Risk"
"Financial Analyst","Finance","Canada",2025,67.98,76.47,48.64,74170.97,-6.64,17.71,18.05,85.88,"5",43.776,"Future","High Risk"
"HR Manager","Healthcare","UK",2023,37.8,32.25,64.65,136772.79,1.67,16.09,17.93,69.66,"2",35.016,"Present","Medium Risk"
"Customer Support Rep","Technology","USA",2021,67.62,59.78,90.05,40400.13,-7.7,2.59,92.08,3.54,"4",56.373,"Past","High Risk"
"Software Engineer","Energy","UK",2021,29.8,34.12,25.14,42601.47,-2.53,-4.91,48.57,71.81,"2",20.221,"Past","Low Risk"
"Mechanical Engineer","Technology","UK",2025,26.66,28.81,99.9,133710.1,5.5,6.69,99.2,57.03,"5",42.284,"Future","Low Risk"
"Customer Support Rep","Technology","Germany",2025,44.15,51.48,84.42,40153.35,-1.77,10.77,38.99,34.33,"3",43.517,"Future","Medium Risk"
"Accountant","Retail","Germany",2023,32.4,32.61,57.98,81076.25,15.49,-0.71,10.27,94.69,"3",35.001,"Present","Low Risk"
"Customer Support Rep","Finance","Singapore",2026,75.01,81.23,42.2,145894.42,6.26,12.98,34.42,59.48,"5",44.542,"Future","High Risk"
"Accountant","Technology","India",2026,47.24,47.76,59.56,149248.24,-19.09,10.11,60.41,62.27,"4",42.491,"Future","Medium Risk"
"Teacher","Manufacturing","India",2023,31.8,33.49,62.2,138416.57,7.8,-5.36,50.57,12.99,"4",33.72,"Present","Low Risk"
"Marketing Specialist","Transportation","Brazil",2023,32.13,26.44,31.93,38281.64,-6.66,4.52,63.62,23.48,"3",24.429,"Present","Low Risk"
"Software Engineer","Manufacturing","Germany",2026,12.37,12.7,35.64,117645.43,11.89,8.29,15.25,23.49,"1",19.207,"Future","Low Risk"
"HR Manager","Education","Canada",2022,49.69,57.25,81.34,111543.76,19.07,15.75,29.22,59.52,"1",49.999,"Past","Medium Risk"
"Software Engineer","Transportation","India",2023,34.56,32.97,88.77,129529.89,-7.14,-1.78,94.94,44.48,"4",42.597,"Present","Medium Risk"
"HR Manager","Energy","USA",2020,66.38,60.75,87.32,129876.57,18.75,6.78,96.76,45.2,"5",58.373,"Past","Medium Risk"
"HR Manager","Retail","Australia",2024,44.59,48.57,38.64,145347.57,-1.03,0.1,74.25,42.94,"1",29.737,"Present","Medium Risk"
